"季度","縣市","地區","品項定位","款式","銷售總金額"
"第一季","南投縣","一般縣市","中性","一般款",1185.975
"第一季","南投縣","一般縣市","中性","自動扣",698.25
"第一季","南投縣","一般縣市","中性","針棒",2716.35
"第一季","南投縣","一般縣市","特定性別","一般款",1114.05
"第一季","南投縣","一般縣市","特定性別","自動扣",837.9
"第一季","南投縣","一般縣市","特定性別","針棒",695.625
"第一季","台中市","直轄市","中性","一般款",8847.825
"第一季","台中市","直轄市","中性","自動扣",7945.875
"第一季","台中市","直轄市","中性","針棒",11283.3
"第一季","台中市","直轄市","特定性別","一般款",10446.45
"第一季","台中市","直轄市","特定性別","自動扣",6976.074
"第一季","台中市","直轄市","特定性別","針棒",9321.375
"第一季","台北市","直轄市","中性","一般款",6830.775
"第一季","台北市","直轄市","中性","自動扣",1529.724
"第一季","台北市","直轄市","中性","針棒",5641.65
"第一季","台北市","直轄市","特定性別","一般款",5361.825
"第一季","台北市","直轄市","特定性別","自動扣",4183.074
"第一季","台北市","直轄市","特定性別","針棒",6260.625
"第一季","台南市","直轄市","中性","一般款",5921.475
"第一季","台南市","直轄市","中性","自動扣",5144.748
"第一季","台南市","直轄市","中性","針棒",4805.85
"第一季","台南市","直轄市","特定性別","一般款",7942.725
"第一季","台南市","直轄市","特定性別","自動扣",3338.748
"第一季","台南市","直轄市","特定性別","針棒",7512.75
"第一季","台東縣","一般縣市","中性","一般款",208.95
"第一季","台東縣","一般縣市","中性","針棒",1044.75
"第一季","台東縣","一般縣市","特定性別","一般款",139.125
"第一季","台東縣","一般縣市","特定性別","自動扣",279.3
"第一季","台東縣","一般縣市","特定性別","針棒",417.375
"第一季","嘉義縣","一般縣市","中性","一般款",835.8
"第一季","嘉義縣","一般縣市","中性","自動扣",837.9
"第一季","嘉義縣","一般縣市","中性","針棒",1462.65
"第一季","嘉義縣","一般縣市","特定性別","一般款",974.4
"第一季","嘉義縣","一般縣市","特定性別","自動扣",1396.5
"第一季","嘉義縣","一般縣市","特定性別","針棒",1113
"第一季","基隆市","一般縣市","中性","一般款",627.375
"第一季","基隆市","一般縣市","中性","自動扣",558.6
"第一季","基隆市","一般縣市","中性","針棒",1671.6
"第一季","基隆市","一般縣市","特定性別","一般款",904.575
"第一季","基隆市","一般縣市","特定性別","自動扣",279.3
"第一季","基隆市","一般縣市","特定性別","針棒",695.625
"第一季","宜蘭縣","一般縣市","中性","一般款",1602.3
"第一季","宜蘭縣","一般縣市","中性","自動扣",2164.575
"第一季","宜蘭縣","一般縣市","中性","針棒",1462.65
"第一季","宜蘭縣","一般縣市","特定性別","一般款",1114.05
"第一季","宜蘭縣","一般縣市","特定性別","自動扣",1117.2
"第一季","宜蘭縣","一般縣市","特定性別","針棒",1252.125
"第一季","屏東縣","一般縣市","中性","一般款",2858.625
"第一季","屏東縣","一般縣市","中性","自動扣",837.9
"第一季","屏東縣","一般縣市","中性","針棒",3134.25
"第一季","屏東縣","一般縣市","特定性別","一般款",1741.95
"第一季","屏東縣","一般縣市","特定性別","自動扣",1110.774
"第一季","屏東縣","一般縣市","特定性別","針棒",1391.25
"第一季","彰化縣","一般縣市","中性","一般款",1811.775
"第一季","彰化縣","一般縣市","中性","自動扣",4464.075
"第一季","彰化縣","一般縣市","中性","針棒",3134.25
"第一季","彰化縣","一般縣市","特定性別","一般款",2088.975
"第一季","彰化縣","一般縣市","特定性別","自動扣",1955.1
